============================= test session starts ==============================
platform linux -- Python 3.10.6, pytest-7.2.0, pluggy-1.0.0
rootdir: /root/projects/qcs
collected 12 items / 11 deselected / 1 selected

tst/qdao/engine.py 
::::::::::::::::::Config::::::::::::::::::

NQ::	25
NP::	17
NL::	15
D::	22

::::::::::::::::::Config::::::::::::::::::


:::Reusing existing bench:::::/root/projects/qcs/qdao/benchmarks/qasm/random_25_22_max_operands_2_gen.qasm::::::::

Partial simulation consumes time: 0.012479543685913086
Partial simulation consumes time: 0.01146078109741211
Partial simulation consumes time: 0.01202845573425293
Partial simulation consumes time: 0.01263117790222168
Partial simulation consumes time: 0.015825271606445312
Partial simulation consumes time: 0.012151241302490234
Partial simulation consumes time: 0.011679887771606445
Partial simulation consumes time: 0.015679597854614258
Partial simulation consumes time: 0.011244535446166992
Partial simulation consumes time: 0.008652210235595703
Partial simulation consumes time: 0.00964498519897461
Partial simulation consumes time: 0.009441614151000977
Partial simulation consumes time: 0.009353160858154297
Partial simulation consumes time: 0.008565902709960938
Partial simulation consumes time: 0.011625051498413086
Partial simulation consumes time: 0.009111881256103516
Partial simulation consumes time: 0.01022195816040039
Partial simulation consumes time: 0.00962066650390625
Partial simulation consumes time: 0.011892080307006836
Partial simulation consumes time: 0.017859220504760742
Partial simulation consumes time: 0.014978647232055664
Partial simulation consumes time: 0.010866641998291016
Partial simulation consumes time: 0.01207423210144043
Partial simulation consumes time: 0.010576486587524414
Partial simulation consumes time: 0.010581731796264648
Partial simulation consumes time: 0.009876251220703125
Partial simulation consumes time: 0.010637521743774414
Partial simulation consumes time: 0.011148214340209961
Partial simulation consumes time: 0.012140512466430664
Partial simulation consumes time: 0.011459112167358398
Partial simulation consumes time: 0.010794639587402344
Partial simulation consumes time: 0.03761553764343262
Partial simulation consumes time: 0.028117895126342773
Partial simulation consumes time: 0.014681339263916016
Partial simulation consumes time: 0.01519775390625
Partial simulation consumes time: 0.014800786972045898
Partial simulation consumes time: 0.016330480575561523
Partial simulation consumes time: 0.014778375625610352
Partial simulation consumes time: 0.017429828643798828
Partial simulation consumes time: 0.013850688934326172
Partial simulation consumes time: 0.012723922729492188
Partial simulation consumes time: 0.012692928314208984
Partial simulation consumes time: 0.01016855239868164
Partial simulation consumes time: 0.011802434921264648
Partial simulation consumes time: 0.00946497917175293
Partial simulation consumes time: 0.009249448776245117
Partial simulation consumes time: 0.010416984558105469
Partial simulation consumes time: 0.009876489639282227
Partial simulation consumes time: 0.009445667266845703
Partial simulation consumes time: 0.009732484817504883
Partial simulation consumes time: 0.008953094482421875
Partial simulation consumes time: 0.009961366653442383
Partial simulation consumes time: 0.010233640670776367
Partial simulation consumes time: 0.009784460067749023
Partial simulation consumes time: 0.009200096130371094
Partial simulation consumes time: 0.009457826614379883
Partial simulation consumes time: 0.009038925170898438
Partial simulation consumes time: 0.009394168853759766
Partial simulation consumes time: 0.009207487106323242
Partial simulation consumes time: 0.009544134140014648
Partial simulation consumes time: 0.010307788848876953
Partial simulation consumes time: 0.009443521499633789
Partial simulation consumes time: 0.009262323379516602
Partial simulation consumes time: 0.009392738342285156
Partial simulation consumes time: 0.008760452270507812
Partial simulation consumes time: 0.009407281875610352
Partial simulation consumes time: 0.009413003921508789
Partial simulation consumes time: 0.009129047393798828
Partial simulation consumes time: 0.008985280990600586
Partial simulation consumes time: 0.00957345962524414
Partial simulation consumes time: 0.009210586547851562
Partial simulation consumes time: 0.00928354263305664
Partial simulation consumes time: 0.009080648422241211
Partial simulation consumes time: 0.008928537368774414
Partial simulation consumes time: 0.009168624877929688
Partial simulation consumes time: 0.009081840515136719
Partial simulation consumes time: 0.009842634201049805
Partial simulation consumes time: 0.009660482406616211
Partial simulation consumes time: 0.008407115936279297
Partial simulation consumes time: 0.009705781936645508
Partial simulation consumes time: 0.011648416519165039
Partial simulation consumes time: 0.009929418563842773
Partial simulation consumes time: 0.010694026947021484
Partial simulation consumes time: 0.010000944137573242
Partial simulation consumes time: 0.0098114013671875
Partial simulation consumes time: 0.009784221649169922
Partial simulation consumes time: 0.008994340896606445
Partial simulation consumes time: 0.00889897346496582
Partial simulation consumes time: 0.00938868522644043
Partial simulation consumes time: 0.008500099182128906
Partial simulation consumes time: 0.009093999862670898
Partial simulation consumes time: 0.008575677871704102
Partial simulation consumes time: 0.009324789047241211
Partial simulation consumes time: 0.00923776626586914
Partial simulation consumes time: 0.009291887283325195
Partial simulation consumes time: 0.008842229843139648
Partial simulation consumes time: 0.009155511856079102
Partial simulation consumes time: 0.009320497512817383
Partial simulation consumes time: 0.010054588317871094
Partial simulation consumes time: 0.00943303108215332
Partial simulation consumes time: 0.00992584228515625
Partial simulation consumes time: 0.009937286376953125
Partial simulation consumes time: 0.009417295455932617
Partial simulation consumes time: 0.009126663208007812
Partial simulation consumes time: 0.010800838470458984
Partial simulation consumes time: 0.012977838516235352
Partial simulation consumes time: 0.009087562561035156
Partial simulation consumes time: 0.009206295013427734
Partial simulation consumes time: 0.009405136108398438
Partial simulation consumes time: 0.009848833084106445
Partial simulation consumes time: 0.009626626968383789
Partial simulation consumes time: 0.009418487548828125
Partial simulation consumes time: 0.008599519729614258
Partial simulation consumes time: 0.010704755783081055
Partial simulation consumes time: 0.009316205978393555
Partial simulation consumes time: 0.008659839630126953
Partial simulation consumes time: 0.00934290885925293
Partial simulation consumes time: 0.008986234664916992
Partial simulation consumes time: 0.008507013320922852
Partial simulation consumes time: 0.00981760025024414
Partial simulation consumes time: 0.00946950912475586
Partial simulation consumes time: 0.00935053825378418
Partial simulation consumes time: 0.009374141693115234
Partial simulation consumes time: 0.009098052978515625
Partial simulation consumes time: 0.009333133697509766
Partial simulation consumes time: 0.009174823760986328
Partial simulation consumes time: 0.009067058563232422
Partial simulation consumes time: 0.008353948593139648
Partial simulation consumes time: 0.008912324905395508
Partial simulation consumes time: 0.00913381576538086
Partial simulation consumes time: 0.009138345718383789
Partial simulation consumes time: 0.008971214294433594
Partial simulation consumes time: 0.010018587112426758
Partial simulation consumes time: 0.008430719375610352
Partial simulation consumes time: 0.009595394134521484
Partial simulation consumes time: 0.010452985763549805
Partial simulation consumes time: 0.010080575942993164
Partial simulation consumes time: 0.009154081344604492
Partial simulation consumes time: 0.009671926498413086
Partial simulation consumes time: 0.011316537857055664
Partial simulation consumes time: 0.009943485260009766
Partial simulation consumes time: 0.008485078811645508
Partial simulation consumes time: 0.009454965591430664
Partial simulation consumes time: 0.009594202041625977
Partial simulation consumes time: 0.009029626846313477
Partial simulation consumes time: 0.00963735580444336
Partial simulation consumes time: 0.009602546691894531
Partial simulation consumes time: 0.014640569686889648
Partial simulation consumes time: 0.011312723159790039
Partial simulation consumes time: 0.009684085845947266
Partial simulation consumes time: 0.009607315063476562
Partial simulation consumes time: 0.008979082107543945
Partial simulation consumes time: 0.00977325439453125
Partial simulation consumes time: 0.009418487548828125
Partial simulation consumes time: 0.009694337844848633
Partial simulation consumes time: 0.00863337516784668
Partial simulation consumes time: 0.009450435638427734
Partial simulation consumes time: 0.009244203567504883
Partial simulation consumes time: 0.01173543930053711
Partial simulation consumes time: 0.00985407829284668
Partial simulation consumes time: 0.008943796157836914
Partial simulation consumes time: 0.009161710739135742
Partial simulation consumes time: 0.009282350540161133
Partial simulation consumes time: 0.009673833847045898
Partial simulation consumes time: 0.009249210357666016
Partial simulation consumes time: 0.009526968002319336
Partial simulation consumes time: 0.01286768913269043
Partial simulation consumes time: 0.014625787734985352
Partial simulation consumes time: 0.010286331176757812
Partial simulation consumes time: 0.010234355926513672
Partial simulation consumes time: 0.012603521347045898
Partial simulation consumes time: 0.011919736862182617
Partial simulation consumes time: 0.01230001449584961
Partial simulation consumes time: 0.012789726257324219
Partial simulation consumes time: 0.01051950454711914
Partial simulation consumes time: 0.011308908462524414
Partial simulation consumes time: 0.010711431503295898
Partial simulation consumes time: 0.010460615158081055
Partial simulation consumes time: 0.011745214462280273
Partial simulation consumes time: 0.011084556579589844
Partial simulation consumes time: 0.009542703628540039
Partial simulation consumes time: 0.010827064514160156
Partial simulation consumes time: 0.012531280517578125
Partial simulation consumes time: 0.010271787643432617
Partial simulation consumes time: 0.01586174964904785
Partial simulation consumes time: 0.01683497428894043
Partial simulation consumes time: 0.010071516036987305
Partial simulation consumes time: 0.009317874908447266
Partial simulation consumes time: 0.01043248176574707
Partial simulation consumes time: 0.012010574340820312
Partial simulation consumes time: 0.010454893112182617
Partial simulation consumes time: 0.011425256729125977
Partial simulation consumes time: 0.009725093841552734
Partial simulation consumes time: 0.012146234512329102
Partial simulation consumes time: 0.009381294250488281
Partial simulation consumes time: 0.012563467025756836
Partial simulation consumes time: 0.010472774505615234
Partial simulation consumes time: 0.013685464859008789
Partial simulation consumes time: 0.011216402053833008
Partial simulation consumes time: 0.01115107536315918
Partial simulation consumes time: 0.010869741439819336
Partial simulation consumes time: 0.010362863540649414
Partial simulation consumes time: 0.02597332000732422
Partial simulation consumes time: 0.0106658935546875
Partial simulation consumes time: 0.010848522186279297
Partial simulation consumes time: 0.011532306671142578
Partial simulation consumes time: 0.009205341339111328
Partial simulation consumes time: 0.009319067001342773
Partial simulation consumes time: 0.008989810943603516
Partial simulation consumes time: 0.008914709091186523
Partial simulation consumes time: 0.009393930435180664
Partial simulation consumes time: 0.009340763092041016
Partial simulation consumes time: 0.010974407196044922
Partial simulation consumes time: 0.010675191879272461
Partial simulation consumes time: 0.009900093078613281
Partial simulation consumes time: 0.009804964065551758
Partial simulation consumes time: 0.009245872497558594
Partial simulation consumes time: 0.009456157684326172
Partial simulation consumes time: 0.008972644805908203
Partial simulation consumes time: 0.011566162109375
Partial simulation consumes time: 0.010689496994018555
Partial simulation consumes time: 0.008926630020141602
Partial simulation consumes time: 0.008887052536010742
Partial simulation consumes time: 0.00924992561340332
Partial simulation consumes time: 0.009243011474609375
