============================= test session starts ==============================
platform linux -- Python 3.10.6, pytest-7.2.0, pluggy-1.0.0
rootdir: /root/projects/qcs
collected 10 items / 9 deselected / 1 selected

tst/qdao/engine.py 
::::::::::::::::::Config::::::::::::::::::

NQ::	30
NP::	28
NL::	20
D::	27

::::::::::::::::::Config::::::::::::::::::

Partial simulation consumes time: 0.2735154628753662
Partial simulation consumes time: 0.26479339599609375
Partial simulation consumes time: 0.2653322219848633
Partial simulation consumes time: 0.26970720291137695
Partial simulation consumes time: 0.267289400100708
Partial simulation consumes time: 0.26637864112854004
Partial simulation consumes time: 0.2671058177947998
Partial simulation consumes time: 0.2842848300933838
Partial simulation consumes time: 0.2600264549255371
Partial simulation consumes time: 0.25942349433898926
Partial simulation consumes time: 0.2666287422180176
Partial simulation consumes time: 0.26061224937438965
Partial simulation consumes time: 0.25775957107543945
Partial simulation consumes time: 0.30203700065612793
Partial simulation consumes time: 0.3607966899871826
Partial simulation consumes time: 0.3714919090270996
Partial simulation consumes time: 0.3423175811767578
Partial simulation consumes time: 0.431563138961792
Partial simulation consumes time: 0.2704939842224121
Partial simulation consumes time: 0.2730743885040283
Partial simulation consumes time: 0.27759408950805664
Partial simulation consumes time: 0.28768086433410645
Partial simulation consumes time: 0.3650064468383789
Partial simulation consumes time: 0.3712601661682129
Partial simulation consumes time: 0.23519253730773926
Partial simulation consumes time: 0.23539257049560547
Partial simulation consumes time: 0.27608752250671387
Partial simulation consumes time: 0.28275442123413086
Partial simulation consumes time: 0.4006354808807373
Partial simulation consumes time: 0.3368983268737793
Partial simulation consumes time: 0.2421553134918213
Partial simulation consumes time: 0.23704266548156738
Partial simulation consumes time: 0.24394750595092773
Partial simulation consumes time: 0.29175329208374023
Partial simulation consumes time: 0.26422858238220215
Partial simulation consumes time: 0.2653810977935791
Partial simulation consumes time: 0.26426076889038086
Partial simulation consumes time: 0.3601038455963135
Partial simulation consumes time: 0.2663304805755615
Partial simulation consumes time: 0.2679781913757324
Partial simulation consumes time: 0.267392635345459
Partial simulation consumes time: 0.2611813545227051
Partial simulation consumes time: 0.2597794532775879
Partial simulation consumes time: 0.2644178867340088
Partial simulation consumes time: 0.2664055824279785
Partial simulation consumes time: 0.2603633403778076
Partial simulation consumes time: 0.2741267681121826
Partial simulation consumes time: 0.2755255699157715
Partial simulation consumes time: 0.1387486457824707
Partial simulation consumes time: 0.2232201099395752
Partial simulation consumes time: 0.1391921043395996
Partial simulation consumes time: 0.13189697265625
Partial simulation consumes time: 0.19037294387817383
Partial simulation consumes time: 0.15987944602966309
Partial simulation consumes time: 0.2322835922241211
Partial simulation consumes time: 0.1452643871307373
Partial simulation consumes time: 0.26200437545776367
Partial simulation consumes time: 0.26850104331970215
Partial simulation consumes time: 0.2666137218475342
Partial simulation consumes time: 0.2994804382324219
Partial simulation consumes time: 0.3603534698486328
Partial simulation consumes time: 0.2671854496002197
Partial simulation consumes time: 0.3505549430847168
Partial simulation consumes time: 0.40749597549438477
Partial simulation consumes time: 0.2458817958831787
Partial simulation consumes time: 0.2582874298095703
Partial simulation consumes time: 0.26072216033935547
Partial simulation consumes time: 0.3424980640411377
Partial simulation consumes time: 0.2721879482269287
Partial simulation consumes time: 0.2611088752746582
Partial simulation consumes time: 0.2542586326599121
Partial simulation consumes time: 0.3254718780517578
Partial simulation consumes time: 0.7504749298095703
Partial simulation consumes time: 0.7553431987762451
Partial simulation consumes time: 0.7625222206115723
Partial simulation consumes time: 0.7823925018310547
Partial simulation consumes time: 0.16099309921264648
Partial simulation consumes time: 0.16158175468444824
Partial simulation consumes time: 0.20804667472839355
Partial simulation consumes time: 0.12618160247802734
Partial simulation consumes time: 0.3497960567474365
Partial simulation consumes time: 0.39102888107299805
Partial simulation consumes time: 0.31153178215026855
Partial simulation consumes time: 0.30042004585266113
Partial simulation consumes time: 0.3414797782897949
Partial simulation consumes time: 0.2649557590484619
Partial simulation consumes time: 0.25565075874328613
Partial simulation consumes time: 0.26470208168029785
Partial simulation consumes time: 0.26522254943847656
Partial simulation consumes time: 0.3054323196411133
Partial simulation consumes time: 0.25829482078552246
Partial simulation consumes time: 0.2678093910217285
Partial simulation consumes time: 0.19838595390319824
Partial simulation consumes time: 0.19160103797912598
Partial simulation consumes time: 0.20212388038635254
Partial simulation consumes time: 0.2483353614807129
Partial simulation consumes time: 0.21864700317382812
Partial simulation consumes time: 0.22368860244750977
Partial simulation consumes time: 0.21127748489379883
Partial simulation consumes time: 0.20375347137451172
Partial simulation consumes time: 0.2355039119720459
Partial simulation consumes time: 0.23330450057983398
Partial simulation consumes time: 0.27842068672180176
Partial simulation consumes time: 0.23121261596679688
Partial simulation consumes time: 0.29346609115600586
Partial simulation consumes time: 0.27535271644592285
Partial simulation consumes time: 0.27750372886657715
Partial simulation consumes time: 0.4130535125732422
Partial simulation consumes time: 0.13594675064086914
Partial simulation consumes time: 0.1214592456817627
Partial simulation consumes time: 0.12108874320983887
Partial simulation consumes time: 0.12281966209411621
Partial simulation consumes time: 0.3076760768890381
Partial simulation consumes time: 0.24713826179504395
Partial simulation consumes time: 0.24788951873779297
Partial simulation consumes time: 0.27250218391418457
Partial simulation consumes time: 0.2623293399810791
Partial simulation consumes time: 0.26267170906066895
Partial simulation consumes time: 0.25225186347961426
Partial simulation consumes time: 0.25302910804748535
Partial simulation consumes time: 0.2568237781524658
Partial simulation consumes time: 0.26332759857177734
Partial simulation consumes time: 0.26674365997314453
Partial simulation consumes time: 0.26483774185180664
Partial simulation consumes time: 0.2672295570373535
Partial simulation consumes time: 0.2682037353515625
Partial simulation consumes time: 0.2658979892730713
Partial simulation consumes time: 0.2654149532318115
Partial simulation consumes time: 0.2659008502960205
Partial simulation consumes time: 0.27327966690063477
Partial simulation consumes time: 0.27756333351135254
Partial simulation consumes time: 0.28053736686706543
Partial simulation consumes time: 0.2695746421813965
Partial simulation consumes time: 0.2673349380493164
Partial simulation consumes time: 0.2663075923919678
Partial simulation consumes time: 0.3107450008392334
Partial simulation consumes time: 0.21714091300964355
Partial simulation consumes time: 0.16216659545898438
Partial simulation consumes time: 0.15253949165344238
Partial simulation consumes time: 0.1640486717224121
Partial simulation consumes time: 0.2705364227294922
Partial simulation consumes time: 0.28875184059143066
Partial simulation consumes time: 0.2660212516784668
Partial simulation consumes time: 0.26706838607788086
Partial simulation consumes time: 0.1593165397644043
Partial simulation consumes time: 0.16079282760620117
Partial simulation consumes time: 0.17131400108337402
Partial simulation consumes time: 0.1590266227722168
Partial simulation consumes time: 0.26660871505737305
Partial simulation consumes time: 0.3237180709838867
Partial simulation consumes time: 0.2709157466888428
Partial simulation consumes time: 0.2590358257293701
Partial simulation consumes time: 0.25853490829467773
Partial simulation consumes time: 0.25888490676879883
Partial simulation consumes time: 0.2569591999053955
Partial simulation consumes time: 0.25481724739074707
Partial simulation consumes time: 0.2680814266204834
Partial simulation consumes time: 0.2685885429382324
Partial simulation consumes time: 0.2686946392059326
Partial simulation consumes time: 0.2774159908294678
Partial simulation consumes time: 0.27524900436401367
Partial simulation consumes time: 0.2763030529022217
Partial simulation consumes time: 0.26946520805358887
Partial simulation consumes time: 0.2834932804107666
Partial simulation consumes time: 0.2898728847503662
Partial simulation consumes time: 0.2623274326324463
Partial simulation consumes time: 0.26342344284057617
Partial simulation consumes time: 0.3142573833465576
Partial simulation consumes time: 0.2695019245147705
Partial simulation consumes time: 0.2662162780761719
Partial simulation consumes time: 0.26729416847229004
Partial simulation consumes time: 0.2698037624359131
Partial simulation consumes time: 0.3905007839202881
Partial simulation consumes time: 0.25010061264038086
Partial simulation consumes time: 0.2460775375366211
Partial simulation consumes time: 0.24728059768676758
Partial simulation consumes time: 0.24895596504211426
Partial simulation consumes time: 0.25795650482177734
Partial simulation consumes time: 0.24586272239685059
Partial simulation consumes time: 0.2645094394683838
Partial simulation consumes time: 0.2472684383392334
Partial simulation consumes time: 0.24481821060180664
Partial simulation consumes time: 0.24493098258972168
Partial simulation consumes time: 0.24422669410705566
Partial simulation consumes time: 0.2455737590789795
Partial simulation consumes time: 0.2439289093017578
Partial simulation consumes time: 0.24490737915039062
Partial simulation consumes time: 0.33462095260620117
Partial simulation consumes time: 0.23818087577819824
Partial simulation consumes time: 0.23526287078857422
Partial simulation consumes time: 0.23673272132873535
Partial simulation consumes time: 0.2412092685699463
Partial simulation consumes time: 0.5821771621704102
Partial simulation consumes time: 0.4577000141143799
Partial simulation consumes time: 0.45453500747680664
Partial simulation consumes time: 0.4542977809906006
Partial simulation consumes time: 0.37882184982299805
Partial simulation consumes time: 0.23019146919250488
Partial simulation consumes time: 0.2268049716949463
Partial simulation consumes time: 0.2551844120025635
Partial simulation consumes time: 0.4609990119934082
Partial simulation consumes time: 0.45989441871643066
Partial simulation consumes time: 0.4910895824432373
Partial simulation consumes time: 0.4669218063354492
Partial simulation consumes time: 0.22662353515625
Partial simulation consumes time: 0.22726011276245117
Partial simulation consumes time: 0.22542333602905273
Partial simulation consumes time: 0.22506332397460938
Partial simulation consumes time: 0.12138652801513672
Partial simulation consumes time: 0.11319351196289062
Partial simulation consumes time: 0.14825081825256348
Partial simulation consumes time: 0.11266303062438965
Partial simulation consumes time: 0.11594605445861816
Partial simulation consumes time: 0.11519241333007812
Partial simulation consumes time: 0.11520195007324219
Partial simulation consumes time: 0.12021136283874512
Partial simulation consumes time: 0.23659706115722656
Partial simulation consumes time: 0.23677754402160645
Partial simulation consumes time: 0.27335238456726074
Partial simulation consumes time: 0.23269033432006836
Partial simulation consumes time: 0.23144793510437012
Partial simulation consumes time: 0.2275981903076172
Partial simulation consumes time: 0.22829937934875488
Partial simulation consumes time: 0.22732257843017578
Partial simulation consumes time: 0.2580687999725342
Partial simulation consumes time: 0.22903156280517578
Partial simulation consumes time: 0.2307755947113037
Partial simulation consumes time: 0.23341989517211914
