============================= test session starts ==============================
platform linux -- Python 3.10.6, pytest-7.2.0, pluggy-1.0.0
rootdir: /root/projects/qcs
collected 10 items / 9 deselected / 1 selected

tst/qdao/engine.py 
::::::::::::::::::Config::::::::::::::::::

NQ::	30
NP::	20
NL::	10
D::	27

::::::::::::::::::Config::::::::::::::::::


:::Reusing existing bench:::::/root/projects/qcs/qdao/benchmarks/qasm/random_30_27_max_operands_2_gen.qasm::::::::

Partial simulation consumes time: 0.24089837074279785
Partial simulation consumes time: 0.23470783233642578
Partial simulation consumes time: 0.2313706874847412
Partial simulation consumes time: 0.23326873779296875
Partial simulation consumes time: 0.24726414680480957
Partial simulation consumes time: 0.23346304893493652
Partial simulation consumes time: 0.2332775592803955
Partial simulation consumes time: 0.23084688186645508
Partial simulation consumes time: 0.23404335975646973
Partial simulation consumes time: 0.23474860191345215
Partial simulation consumes time: 0.230818510055542
Partial simulation consumes time: 0.23465371131896973
Partial simulation consumes time: 0.23284316062927246
Partial simulation consumes time: 0.2419579029083252
Partial simulation consumes time: 0.23320364952087402
Partial simulation consumes time: 0.23575186729431152
Partial simulation consumes time: 0.23233461380004883
Partial simulation consumes time: 0.23448967933654785
Partial simulation consumes time: 0.23261356353759766
Partial simulation consumes time: 0.23364686965942383
Partial simulation consumes time: 0.23108124732971191
Partial simulation consumes time: 0.2353527545928955
Partial simulation consumes time: 0.2329845428466797
Partial simulation consumes time: 0.2344951629638672
Partial simulation consumes time: 0.2332911491394043
Partial simulation consumes time: 0.23578929901123047
Partial simulation consumes time: 0.23386907577514648
Partial simulation consumes time: 0.23422455787658691
Partial simulation consumes time: 0.23436927795410156
Partial simulation consumes time: 0.2350940704345703
Partial simulation consumes time: 0.22867703437805176
Partial simulation consumes time: 0.23149824142456055
Partial simulation consumes time: 0.23256587982177734
Partial simulation consumes time: 0.23407983779907227
Partial simulation consumes time: 0.23420929908752441
Partial simulation consumes time: 0.2345888614654541
Partial simulation consumes time: 0.2351241111755371
Partial simulation consumes time: 0.24816679954528809
Partial simulation consumes time: 0.24280095100402832
Partial simulation consumes time: 0.22915077209472656
Partial simulation consumes time: 0.23418736457824707
Partial simulation consumes time: 0.22883129119873047
Partial simulation consumes time: 0.23359251022338867
Partial simulation consumes time: 0.23020267486572266
Partial simulation consumes time: 0.23287034034729004
Partial simulation consumes time: 0.24051737785339355
Partial simulation consumes time: 0.2341456413269043
Partial simulation consumes time: 0.23324322700500488
Partial simulation consumes time: 0.23620367050170898
Partial simulation consumes time: 0.2340867519378662
Partial simulation consumes time: 0.2285606861114502
Partial simulation consumes time: 0.23332905769348145
Partial simulation consumes time: 0.23277592658996582
Partial simulation consumes time: 0.23514127731323242
Partial simulation consumes time: 0.2322523593902588
Partial simulation consumes time: 0.23488759994506836
Partial simulation consumes time: 0.23130416870117188
Partial simulation consumes time: 0.23411107063293457
Partial simulation consumes time: 0.23446941375732422
Partial simulation consumes time: 0.23377275466918945
Partial simulation consumes time: 0.2323627471923828
Partial simulation consumes time: 0.23379921913146973
Partial simulation consumes time: 0.233842134475708
Partial simulation consumes time: 0.23995733261108398
Partial simulation consumes time: 0.25720953941345215
Partial simulation consumes time: 0.25349950790405273
Partial simulation consumes time: 0.2540125846862793
Partial simulation consumes time: 0.2557241916656494
Partial simulation consumes time: 0.2505617141723633
Partial simulation consumes time: 0.2563309669494629
Partial simulation consumes time: 0.25141119956970215
Partial simulation consumes time: 0.231370210647583
Partial simulation consumes time: 0.21965336799621582
Partial simulation consumes time: 0.23761844635009766
Partial simulation consumes time: 0.22902512550354004
Partial simulation consumes time: 0.23346614837646484
Partial simulation consumes time: 0.22928905487060547
Partial simulation consumes time: 0.22948050498962402
Partial simulation consumes time: 0.2260737419128418
Partial simulation consumes time: 0.23040533065795898
Partial simulation consumes time: 0.23011302947998047
Partial simulation consumes time: 0.22987151145935059
Partial simulation consumes time: 0.23371553421020508
Partial simulation consumes time: 0.2329092025756836
Partial simulation consumes time: 0.2335197925567627
Partial simulation consumes time: 0.23319005966186523
Partial simulation consumes time: 0.2338573932647705
Partial simulation consumes time: 0.22896385192871094
Partial simulation consumes time: 0.22546625137329102
Partial simulation consumes time: 0.22606134414672852
Partial simulation consumes time: 0.23105621337890625
Partial simulation consumes time: 0.23487329483032227
Partial simulation consumes time: 0.23161792755126953
Partial simulation consumes time: 0.22881722450256348
Partial simulation consumes time: 0.22773432731628418
Partial simulation consumes time: 0.23358416557312012
Partial simulation consumes time: 0.23059916496276855
Partial simulation consumes time: 0.233262300491333
Partial simulation consumes time: 0.23429393768310547
Partial simulation consumes time: 0.22791647911071777
Partial simulation consumes time: 0.22987866401672363
Partial simulation consumes time: 0.22888493537902832
Partial simulation consumes time: 0.22806406021118164
Partial simulation consumes time: 0.22408223152160645
Partial simulation consumes time: 0.23404860496520996
Partial simulation consumes time: 0.23509645462036133
Partial simulation consumes time: 0.23148608207702637
Partial simulation consumes time: 0.23195886611938477
Partial simulation consumes time: 0.2319343090057373
Partial simulation consumes time: 0.23107576370239258
Partial simulation consumes time: 0.23345351219177246
Partial simulation consumes time: 0.23123455047607422
Partial simulation consumes time: 0.22994232177734375
Partial simulation consumes time: 0.23305654525756836
Partial simulation consumes time: 0.22463774681091309
Partial simulation consumes time: 0.23241496086120605
Partial simulation consumes time: 0.23036742210388184
Partial simulation consumes time: 0.2273547649383545
Partial simulation consumes time: 0.23396039009094238
Partial simulation consumes time: 0.22876310348510742
Partial simulation consumes time: 0.22965192794799805
Partial simulation consumes time: 0.22658753395080566
Partial simulation consumes time: 0.22841739654541016
Partial simulation consumes time: 0.22510433197021484
Partial simulation consumes time: 0.23147964477539062
Partial simulation consumes time: 0.2341620922088623
Partial simulation consumes time: 0.23239350318908691
Partial simulation consumes time: 0.23434901237487793
Partial simulation consumes time: 0.2342700958251953
Partial simulation consumes time: 0.23237276077270508
Partial simulation consumes time: 0.23603272438049316
Partial simulation consumes time: 0.23418521881103516
Partial simulation consumes time: 0.23450016975402832
Partial simulation consumes time: 0.23409438133239746
Partial simulation consumes time: 0.23615789413452148
Partial simulation consumes time: 0.23098158836364746
Partial simulation consumes time: 0.23311090469360352
Partial simulation consumes time: 0.23441529273986816
Partial simulation consumes time: 0.2323627471923828
Partial simulation consumes time: 0.2321627140045166
Partial simulation consumes time: 0.23535370826721191
Partial simulation consumes time: 0.23464584350585938
Partial simulation consumes time: 0.23385214805603027
Partial simulation consumes time: 0.2326948642730713
Partial simulation consumes time: 0.23183202743530273
Partial simulation consumes time: 0.23456740379333496
Partial simulation consumes time: 0.23047757148742676
Partial simulation consumes time: 0.23082733154296875
Partial simulation consumes time: 0.23177528381347656
Partial simulation consumes time: 0.22751998901367188
Partial simulation consumes time: 0.2432096004486084
Partial simulation consumes time: 0.234269380569458
Partial simulation consumes time: 0.23118185997009277
Partial simulation consumes time: 0.23100996017456055
Partial simulation consumes time: 0.22864198684692383
Partial simulation consumes time: 0.22745466232299805
Partial simulation consumes time: 0.23325300216674805
Partial simulation consumes time: 0.23276782035827637
Partial simulation consumes time: 0.2339949607849121
Partial simulation consumes time: 0.2331087589263916
Partial simulation consumes time: 0.22544550895690918
Partial simulation consumes time: 0.23227620124816895
Partial simulation consumes time: 0.23066496849060059
Partial simulation consumes time: 0.23215007781982422
Partial simulation consumes time: 0.22888660430908203
Partial simulation consumes time: 0.23398327827453613
Partial simulation consumes time: 0.23293852806091309
Partial simulation consumes time: 0.23361539840698242
Partial simulation consumes time: 0.23160099983215332
Partial simulation consumes time: 0.22680282592773438
Partial simulation consumes time: 0.2318110466003418
Partial simulation consumes time: 0.22960686683654785
Partial simulation consumes time: 0.2275559902191162
Partial simulation consumes time: 0.24181628227233887
Partial simulation consumes time: 0.23377394676208496
Partial simulation consumes time: 0.23970651626586914
Partial simulation consumes time: 0.229583740234375
Partial simulation consumes time: 0.234222412109375
Partial simulation consumes time: 0.22439217567443848
Partial simulation consumes time: 0.23061180114746094
Partial simulation consumes time: 0.2241992950439453
Partial simulation consumes time: 0.23018288612365723
Partial simulation consumes time: 0.2284832000732422
Partial simulation consumes time: 0.23009467124938965
Partial simulation consumes time: 0.23076415061950684
Partial simulation consumes time: 0.23149585723876953
Partial simulation consumes time: 0.22912931442260742
Partial simulation consumes time: 0.23052573204040527
Partial simulation consumes time: 0.22670555114746094
Partial simulation consumes time: 0.23012614250183105
Partial simulation consumes time: 0.23091864585876465
Partial simulation consumes time: 0.23085808753967285
Partial simulation consumes time: 0.2301640510559082
Partial simulation consumes time: 0.22939562797546387
Partial simulation consumes time: 0.22794461250305176
Partial simulation consumes time: 0.23293757438659668
Partial simulation consumes time: 0.23113179206848145
Partial simulation consumes time: 0.23194670677185059
Partial simulation consumes time: 0.2271120548248291
Partial simulation consumes time: 0.23486542701721191
Partial simulation consumes time: 0.23047900199890137
Partial simulation consumes time: 0.23044419288635254
Partial simulation consumes time: 0.23420500755310059
Partial simulation consumes time: 0.2362213134765625
Partial simulation consumes time: 0.23204803466796875
Partial simulation consumes time: 0.23572969436645508
Partial simulation consumes time: 0.23462152481079102
Partial simulation consumes time: 0.23995065689086914
Partial simulation consumes time: 0.23572659492492676
Partial simulation consumes time: 0.23679566383361816
Partial simulation consumes time: 0.23383522033691406
Partial simulation consumes time: 0.23294687271118164
Partial simulation consumes time: 0.2343306541442871
Partial simulation consumes time: 0.23415780067443848
Partial simulation consumes time: 0.23401904106140137
Partial simulation consumes time: 0.23321294784545898
Partial simulation consumes time: 0.23277688026428223
Partial simulation consumes time: 0.23139286041259766
Partial simulation consumes time: 0.2341296672821045
Partial simulation consumes time: 0.2367384433746338
Partial simulation consumes time: 0.22684574127197266
Partial simulation consumes time: 0.23453330993652344
Partial simulation consumes time: 0.23348379135131836
Partial simulation consumes time: 0.2333669662475586
Partial simulation consumes time: 0.23624062538146973
Partial simulation consumes time: 0.23629307746887207
